@relation _Users_manavpatel_term_project_4500_._filtered_sentoken-weka.filters.unsupervised.instance.Resample-S1-Z85.0

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'insulting like off heavy back up fright ever like underground just perfect tremendous fun notable wisecracking supporting mainly it\'s ridiculous not exactly wise alfred miserably right adequately amusing unfortunately prime terribly terribly wrong only amusing about i about not very nice because ugly smart big red not very friendly all whole texas so big other cool pretty smart so it\'s hard down away good no probably too violent straight video on small perhaps fun through on big almost awkward few guilty poorly poorly even cheesy too properly pathetic usually on as best technical intellectually capable about recycled on like around tired desperately directorial acting up supporting out later out better jimmy you\'ll immediate he\'s exact same humorous other specifically comic unfortunately comic funny mad reliable idiotic experimental other entire texas enormous else like damn over i just ugly i there\'s occasional moderately convincing mainly cheesy digital only bloody even fun stupid it\'s way too late decent there really very efficient way empty entire not even there only kind regular behind ',neg
'new genre presidential michelle accidentally dead-on harry infamous later on white as as official presidential unwittingly no as dead-on actually slightly anthony abusive presidential always eventually lead off other on obvious larry french about deep there just about bad over high on right as much several other on all i likely it\'s juvenile it\'s not apparently relatively because major down audience\'s subtle way possible i don\'t oliver it\'s only redeeming about it\'s remarkable supporting i sole i unfortunately only final constant over major especially constant narrative as deep so ill other excellent particular i\'d like same comedic as definitely better off as best as early particular highly dubious best through first half though interesting on excellent poor great juvenile wonderful as through naive as though kevin so accurately as not funny ',neg
'always political moral best genre such popular noteworthy as strange robert high electric all man\'s worth regularly not it\'s just fancy no really george robert novel as it\'s own there such diverse as through genre sci-fi national on as phil young female upcoming woody tim on luc gary up due luc fine still on red as luc out out luc famed on strange as through violent all luc back on woody second red previous second martian all as there way big there now there ever intelligent on so now bad entire almost on preposterous national martian famed on sci-fi such as on even don\'t up satisfying whole wonderfully flat so much lead no good all like only as luc real gary as as phil comic just too painful about tim better he\'s just too much fun here damn few namely several no also on religious completely horrid non-existent here so extravagant almost out only almost very leisurely full finally martian then there long elaborate about actually there so many already dead good absolutely sumptuous numerous all hasn\'t visual just stunning on only like out plastic de wonderfully creative through out alone seemingly lasting almost as all just amazing final worth all sadly not brian de extravagant visual all it\'s comic fine good adventurous disappointing still ',neg
'known as successful romantic apparently pretty quietly positive able alone \nso well directly film\'s charismatic richard too original even believable \nother pretty so entertaining genuine rarely as palpable today\'s as here \nedward richard suave extremely wealthy up over nasty abruptly friend\'s lost on \nalong obviously \nedward ultimately up before long up on top \nnot lead however as edward rather just \njust as well vivian beautiful generally upbeat young \ncompletely opposite not next as edward finally vivian acting as \nvivian firmly edward on always obligatory genre third edward vivian finally truly \nallegedly as grim on as pretty all classic fairy \nhardly believable out on just about there possibly \nhonestly don\'t as old as great great \nsupporting almost all no \nyet all pretty charming definately easy such \nyou\'d actually far there few select not even whole as romantic as on \nadditionally only richard \nsuch as american out here quiet almost shy still off \nfunny as vivian surprisingly not sheer \nprobably easy vivian as merely j clearly too much about central such \npretty along ryan romantic runaway together once again no \ncontinually not only strong also almost difficult not along male \nespecially strong together edward vivian actually then sexual \nno only vivian cheap especially previously as professional young also edward such way ultimately exactly leading particular \non romantic simply especially edward vivian around not only marvelous also inner outer \nsubtle vivian lovingly edward asleep on still unsure very well out forever short \n pretty not blatantly wrong very last happy as you\'d wouldn\'t other way somehow not perhaps because undeniable \nnot on though because there just far too much magic here such petty \nalong warm memorable supporting san as best catchy all prominently movie\'s overall pretty as on romantic \n',pos
'i already i finally around last rare i proud about expensive \nas final out happy i happy enough such good \noddly intriguing behind large as well known terrible i \noften outrageous eventually \nstunt on \nvery eventually \nfun \non like \neventually too young way \nreally up completely \nmaybe best certainly instead elizabeth complete \nentire so good it\'s fun next serious dramatic \nimportant as well \ni intelligent \n',pos
'elizabeth lush romantic political about upset over respected catholic \nwhole royal so upset not catholic new elizabeth i previous \nover isn\'t only elizabeth \nelizabeth i up personal joseph successfully \nelizabeth elizabeth i \nyet i elizabeth not just because elizabeth great elizabeth i because i powerful hypnotic \nelizabeth also geoffrey richard best \nit\'s dynamic important breathtaking \n\n',pos
'young heavy especially he\'s devoted real rid lead on \ni\'m like \nyoung lofty hard ultimately big-time \ncertain heavy as always way generally very closely hard new \nwhole really fun \ni definitely own past heavy whole around \nfirst as teen even though genre isn\'t prominent anymore i still out twisted now again \nthat\'s not won\'t like don\'t like live big i all \neven here \nmajor as totally heavy incidentally film\'s original much better \ni quite pretty much whole way through \noff like regular extremely passionate willing \nalso surprisingly good as sweet didn\'t hard enough emotional \ni also real third blind west as \nit\'s on real-life young then on actual original also gay as \njust i\'m certainly not already way other because it\'s fun uplifting solid central energetic live \nalso \n\ntrue \n\nalmost famous \n',pos
'free \n* * * good sound \nway \neven way exciting general on such as \nit\'s easy basic out other \neasily no real not just \n private ryan few up especially realistic \nthere\'s huge \ngraphic disturbing recent \nit\'s exact military ready \nspielberg many total \ninstead here as just as \nthere no constant confusing middle just vulnerable as poor \n poor proper pathetic yet innocent \nthere little no loud no \ndon\'t handsome heroic about \nnot as as because they\'re there \ngood through not wouldn\'t \ndead \nthrough actually they\'re general off \nperhaps flawed not on really \non audience\'s american military right good inherently evil \neventually on miraculously way close whole \ni once first over up i couldn\'t \nall sure there\'s about graphic detailed here because really \nsurprising little there yet interesting \npractically irrelevant concerned \nas relatively average \nhe\'s never obsessive such generic cartoonish characteristic like \ndoesn\'t there out \nconcerned as private ryan \nthrough ordinary general\'s simultaneously \nfourth somewhere top \nit\'s easy all no all once \nas like \nprivate ryan isn\'t just dramatic \neven still \ndead isn\'t so quick off \nonly really now \nryan not \nalong way many good bad \nfew not major because no other \nfilm\'s major philosophical \ndon\'t other blind lone barely cold as kind \nunfortunately main here spielberg doesn\'t \nonly small good enough \nsomewhat typical over all \nthey\'re other back never overboard always believable \nsure there\'s here there doesn\'t \ntoo even though hardly \nfinal full tremendous violent \nprivate ryan ryan alive \nthat\'s not it\'s symbolic \nwrong either happy sad way \ni comic like other \n private ryan adult \n',pos
'twin allen dead about all african-american about mostly way i favorite as up no fresh about then about amusing all as because way big it\'s also accomplished mostly sleazy soon out welcome smart never as flashy late also as such as slim gorgeous magic ho no as just about about  san  so as same all other up right film\'s as white regular he\'s human black as successful around fancy grand also black white stable like as all about as about there different only as real no further also primarily never such way as as only front hungry only i out bleak american few now up danny brown so married ho as ',neg
'first foremost i pg it\'s haven\'t lee novel on not out baldwin eric vaguely depressed well really just naked you\'re over still well sheer then cold big baldwin i then damn pg so no naked about okay now about dave baldwin who\'s loving kelly dull illegal almost they\'re on little immediately don\'t also predictably rough up don\'t all he\'s now not along through tedious yet utterly as as dave baldwin fat no seriously not man\'s red october doesn\'t too good he\'s also unconvincing movie\'s dramatic acting as far as i steven way through you\'re probably next drunk up up you\'ll on little on other mary stuart kind wonderful green as broken quite fresh just right movie\'s only eric as always believable as bad final coincidentally also phil believable here as bad all rather on tv\'s totally ridiculous as manipulative seductive as as mildly who\'s back hasn\'t enough off it\'s probably safe really worth personal * video  * * little still better  * * * pretty good  * * * * amazing potent  * * * * * twice ',neg
'nearly full former latter \nthen harsh present \nonly once \naround \ndave as well as former around \nseemingly just hard suddenly \nsuddenly on desperately \ndave too own \non top dave also because current financial as well as on not as long as actually \nthere real \nsure enough few other poor local \nown willing sure as well \nfull very simple not ambitious all \nsmall \nalso very light because \nnever once manipulative all full true all way \nunexpectedly high no way many \nother as psychotic definitely very new on-screen \nhowever acting satisfying \nhere stark real acting on-screen \nespecially able together excellent so much potential up as \nalready critical financial such small full \ntitanic epic way full same \nhalf \n',pos
'john worth little watchable apparently unlikely on international hardly serious  minor john john john live extraordinary not as john surprisingly john middle eastern somehow john dramatic there on though small big like evil large like poor good fallen off on short ',neg
'i very high \nas best unfortunately not as good as i still very intriguing \nfirst all great \nreese future \nas perfectly \nas unbelievable as honest acting \nreese mary perfectly \nwilliam i over past great as over \nalso certain \nperfectly yet again top \nallen equally great as betty ideal \nambitious \nvery well believable just \nterrific as as then even even better \nas before bad \non yet not enough \nvery confusing not very believable \nwhole new able better \nvery provocative \npast still \ni really not all up off such \nslow \nonly major \nnot long \n\nso much better not so slowly \nfirst \nthen \nthen not \nthen \nall out over way too long \n\nprivate ryan little long i \nonly long much longer \n\ndown perfect half \ngood not consistent enough \noverall very pleasant provocative \ni light-hearted about \ni left important about way \nluckily such way all \nonly \n',pos
'truman paramount ed harris long dramatic finally big \nasleep last few on truman seemingly idyllic beautiful \nso perfect however because it\'s harris truman unwittingly \nthat\'s right live american public all it\'s massive sound \ntoo far \nso different easy dumb down common \nluckily sensible enough all yet never dumb \nhe\'s perfect best \ncompletely \noccasionally silly generally \nhe\'s not completely dramatic like however \ned harris extreme \nquiet well \nunfortunately he\'s barely first all \nalso disappointing \nwell sadly underwritten just \nsupporting excellent delightfully perfect so perfect it\'s creepy \nalso superb great \nclearly fun \nfar upbeat previous dead green \nslightly slow about half really up fully on \nsadly though practically over full \nalso slightly too ambiguous disappointing \nentertaining \ntruman increasingly silly never over easy \nalso there\'s funny \noverall truman excellent \ncertainly different usual \nalmost certainly not out disappointed \noverall \ndavid \n \n',pos
'lee\'s first only only notable o don\'t sound very ironic indeed very routine male there enormous not then female alone enough middle second american civil former known all up helpless off former on other past even like modern private there hardly significant young familiar dark not own top yet out only not lee ',neg
'pathetic on classic just teen high not witty not witty enough not funny acting poor she\'s all classic classic average classic\n',neg
'there almost impossible not because own because legendary original \nsuch probably not best definitely popular \nnot half also countless \nalso very rare general \neven unique conventional \non so mediocre on j howard as along main second finally behind michael capable not great \nhowever successful best \nvery best own golden \nheavily yet also rather complicated now almost political intriguing \nexotic on atlantic north officially yet french \nthere on way ready precious \nmany shady on corrupt chief \nbest rick idealistic now popular own cynical \nhowever precious extra \nnew \nnazi \nbeautiful rick nazi \nespecially because major on \nrick now forced own \nlegendary rare \nrick as complicated idealistic past bitter present so perfect forever \ngreat old here artistic visual prime \ncinematic main on didn\'t childish trite like contemporary \nmany probably best romantic ever \nisn\'t it\'s realistic forced tough often wrong \nright on not just main \nsupporting also \nhere mainly previous classic john yet original \ngood now almost as believable like nazi \nunfortunately little difficult forever \nhowever rick actually serious memorable \nbrilliantly perfect almost physical \nalmost entire sympathetic final good not so subtle unnecessary \nalso even ambiguous like rick final even outrageous \ntogether exciting good own \nprofessional probably numerous historical still not realistic \nway even don\'t as historical as well as \n',pos
' red cold detached it\'s almost as legendary musical as there again as down through as before samuel l just as all on on however only secret  red touching inspirational as as however emotional here various unknown mostly thus no it\'s sound not enough memorable it\'s as all second  red much little dull pretentious murky movie\'s over only ',neg
'western \nmike oliver \npublic \nunderground oliver \nbig possibly \n\nlong \ni reluctant \ni didn\'t mike up half i perhaps first great \nhowever i really about well able virtually whole \n i won\'t obvious it\'s not * * bad \nquite thin really noticeable because \nvery similar hot very \n okay bad \nextremely witty as hot repetitive middle \nacting as many acting isn\'t really * * important \nhowever good as perfectly i still better back on much \nokay as \nmediocre as very stilted \nfine as ben oliver about \nmike all way \nclassic western \n also next different \nvery capable direct correct better i \noverall i \nhowever personal as just as well on video \ndefinately all general \nbest so far \nit\'ll \njust \ni lame \n\n',pos
'favorite probably \nrobert very incredibly fun \noff as criminal george \nbecause however it\'s not just it\'s through on out behind entire up as away \noverdone as \nthen \nendlessly \nyou\'re mentally attractive she\'s not nearly as obnoxious as usual \nfirst half through on \nimmediately blind never \nonce it\'s topless we\'re once again as off \nfinally about \nsoon half other half back \nthat\'s right all way \nlike else genre own over-the-top \nso holy on only few left before \nabsurd disgusting as they\'re main always entertaining huge so much fun instead second-rate \nespecially so over-the-top much hilarious not second seriously \nlike terrible other exactly even there\'s absolutely no \njust out cheap \nisn\'t classic modern good really bad \n',pos
'not too many it\'s safe good \nway \ninsightful haunting last notable first complicated gay \nno because only final few it\'s probably better \nit\'s on ian heterosexual \nfairly talented aside \nfirst doesn\'t gay old \nsexual frightened \nback only out again \nyet down aforementioned \nmeanwhile jimmy mental as not long ago \nforced big \nperhaps about up i intensely young because past \ni expressive here \nimpressive because minimal \nthrough difficult capable well \nnot \ntouching here like i as nazi apt compelling \nsolely genre \nfree only reluctantly fellow \nperhaps together \n \n',pos
'last superb serious ultimately out so relentlessly miraculously dry out rather up way same many much there\'s ultimately such very very deliberate as great meaningful just tedious through  single chicago up on as inside anonymous so around soon heavy out on on top outer north out out handsome around kevin immediately there late few earlier likely i wouldn\'t away fallen deep artificial i didn\'t second there positive about as loving far above such great beautiful eastern chicago as equally meanwhile yet recently such bad wouldn\'t near here again main ridiculous on other all sadly always here first half like trite as great not entertaining usually i practically over no here all not as really main very little other not particularly interesting immediately i i as i just before i\'m not even familiar novel on always ahead so closely tightly often almost eventually out secret several happily ever same exact last year\'s very very similar just similar i mean romantic deeply perhaps better off own before ',neg
'cool chinese year\'s international on eager around up well good not as surprisingly there noticeable very few actually i there i because i\'m not unfortunately couldn\'t cultural either cool just isn\'t very funny on lost too bad because big film\'s female lead also on few however regular so up fast-paced incredibly long dizzying good cool almost totally bad that\'s way constantly around chinese slowly i thoroughly quite annoying as i about young young tired left first half about young man\'s back doesn\'t back rough up young off only up later out there funny only young twisted out there no out young cold next so no better off second half young as well obsessed off as also nice frustrating half too late only half cool extraneous whole young out don\'t on other as boring first half there few cool right as before generally pretty good tiresome nice entirely different also effective way up such as ready off out on hardly interminable before out exact unfortunately not enough film\'s enough i left ',neg
'all recent \n especially \n\nall wacky animated aren\'t there emotional all together \nnot disney\'s there such compelling animated interesting \n\nnarrowly mad \nlost up no royal \nbeloved only russian \nyoung ryan john together \nas soon lost \nnever as meanwhile not dead last \nactually quite well \nthere later along fast enough never bored \nreally won\'t bored either \nthere great very funny quite naturally as \nthere pet easily \nhowever comical never almost \ngorgeous through talented \nnot animated so much \neven \nmusical \nas all recent animated there however just on there \nall very catchy instead just that\'s so much fun it\'s okay \ni highly enough \nit\'s wonderful right up there other animated \nalike it\'s also nice animated \n',pos
'many john \nperfect civil fresh \nit\'s cynical about way isn\'t \nit\'s romantic exact opposite way isn\'t \nno distinct above all else \neven it\'s on true true hasn\'t yet false nevertheless \ncivil even sly witty together only novel ever as classic \nyet it\'s also oddly slightly unsatisfying \nweird \nsteve not just didn\'t other schindler\'s \nshort i like way \nall apart obvious isn\'t schindler\'s just damn brilliant not so much as wonderful \n civil same way it\'s narrative \nit\'s here wrong \nmain yes it\'s engrossing no real that\'s not necessarily \nit\'s it\'s just kind unsatisfying \ngreat complete still basically same way \njust i don\'t stupid alternate on about forward then through surrealistic unpleasant just so many won\'t about essentially genuine \njust not all wrong \nit\'s rather last half traditional other about john who\'s as heartless brilliant brilliant because he\'s manipulative always \nall about nicely not full \npersonal pretty good don\'t fully \ni odd noble film\'s \nold effortlessly then on great much \nshort he\'s full \nhardly several mysteriously local not \nit\'s not usual out dead aren\'t nearly as sympathetic as down \nthrough several \ndown muddled on out tony william out \nstephen possible brilliant up dead then \nalso brilliant eccentric robert on later on \nas so way around individual brief best as lost personal \ndownhill second half as up impossible john not only either afraid loyal no quickly out \nas slowly real \nlast half such so widely as not up owen especially not i\n\nlike novel \nwouldn\'t so not way instead automatically as good he\'s as still full \nbecause doesn\'t all because instead as good not sure out \nfinal half as merely personal though considerably he\'s back forth still big he\'s not rich anymore film\'s final witty all shallow \nnot there no it\'s still on personal like either final \nlike really big like such personal \nonly like half \nmaybe even \nit\'s not great here though never truly memorable rather final \nup then though it\'s engrossing best best \nbecause not about rather it\'s about \nalmost positively because best \nsuch brilliant such magnificent it\'s almost easy great \nas elderly goofy eccentric broken brown on out out \nevil manipulative hidden it\'s difficult as clearly way \nthat\'s i it\'s hard on \nnever exactly even still aren\'t sure \n\nsame schindler\'s not i\'m \nso greatly broad interesting along \nonly totally complete like schindler\'s though unfair best along full fresh \n',pos
'highly underrated slick entertaining same absolutely no ever \nwho\'s back evil \nunfortunate all hot on rival \nout old back together as well \nright \nlittle along simple back only \nsometimes just easily entertaining \ndoesn\'t \ngood here easily either way \ngood bad \ni don\'t along nicely \nsupporting as former just she\'s definitely ever robert as former just around \nalso i\'m big huge \nmuch unfortunately \nunderrated however supporting \nas as timothy as \ni just other as important \nonly real i about though \nmainly because before even \nthere\'s no successfully perfectly good rival \nas up about halfway through little \ni i\'d rival before thereby \nthereby \nessentially just big chase there just aren\'t interesting anymore \nit\'s all \nchase also kind way specifically on \nsure it\'s chase exactly \nit\'s very hard \nfinally there\'s stunt close challenging i don\'t so \n\nminor pure \nit\'s not it\'s loud fun \njust \n\n',pos
'superficial about superficial superficial all however won\'t much real blonde not enough real either joe even though no mary no about she\'s eccentric blair new little joe\'s best however yet on opposite beautiful kelly he\'s always real blonde there good real blonde not enough best such as it\'s not just unfortunately film\'s outside pathetic film\'s old absolutely no little completely main sympathetic they\'re boring completely pathetic elizabeth as no little movie\'s like well over there\'s just not enough along not enough ',neg
'about before even spice spice it\'s intended as hard up simply hard spice i\'m old saturday such as animated merely different spice as as about as talented there\'s childish scary brown back so far you\'re almost certain out doesn\'t really as here there first live however like various alien spice spice george various spice nearly all though incredibly far plausible up pregnant sole all pregnant before apparently no famous spice even\nmusical general john even up though he\'s as he\'s richard secondary partially amusing decent way neither amusing spontaneous spice deadly boring alright like lifeless video either\nenjoyable well away ',neg
' best thus far unfortunately also first i flawed flawed rough big great climactic regularly so-called john senior west high really just brown so out he\'s right west texas as frankly pathetic whole weekly as second front about west big before severely john over as few not last long as amy smart ali out all all as john jon like gary oldman welcome as bad yet threatening john\'s don\'t final as old as admittedly i never exactly bored i i i rarely ever all i really virtually same exact great all right i little actually all certainly not john tv\'s pretty much engaging i probably on isn\'t still certainly not all right around john meanwhile thin particularly uninspired comic as as heavy-handed john potential adequate also very little about unfortunate amy smart i don\'t before past probably only smart not passive instead off as young own it\'s too bad didn\'t on long enough so adult probably all dim-witted about john\'s also far on john doesn\'t big strong passive female finally jon one-dimensional total few amusing out thankfully didn\'t welcome as many i i quite lately same old out really no don\'t certainly not like spare much better similar  no first however only on private ',neg
'same just apart mean recently individual due either safe merely john thirteenth finally original fast on good don\'t thirteenth won\'t so lucky reportedly michael dead novel initial brutal empty sluggish like certainly there\'s enough on here purely visceral though admittedly all alternate interminable capable bare out good loud crude often highly pretty perfect along quite reluctantly they\'re also so hard apart hardly few violent you\'ll you\'ll you\'ll haven\'t twice before confused mostly as he\'s not lean don\'t exactly thirteenth wisely doesn\'t foreign physically rough however there\'s still even about isn\'t murky political veteran funny climactic chase through underground all stunning visual jr hard sumptuous graphic unintentionally thirteenth final appropriate ',neg
'really live up potential as hollywood\'s leading \non comic same comic kind \nvery stylish very well \nfew i i video as \nbehind good as basic \nmuddled too many once \nreally doesn\'t away too much little \nhalf half \npregnant as many classic \nhuman special \ndown as kind \nisn\'t as easy as because sophisticated \nother large because \n\nwell \ni personally whole secret corporate very clever great \nup evil stephen \nisn\'t content live superior \nancient virtually \nit\'s up doesn\'t \nadmittedly over through through \nrelatively forgettable fun \nacting just about \nisn\'t \nfun otherwise \nit\'s no otherwise \nas slick as typical \nincredibly well \non long \nfun interesting on genre \nnot like gothic \nclassic next fresh on \nvery cool \n',pos
'all we\'re beloved remote yet perhaps far as tough as martian remote back appropriately cool forced up lovely hapless poorly only incomprehensible sheer idiotic straight convenient next only convenient rare forced off as around other about fun apparently so bad actually even film\'s conveniently heavily easily accessible yes future good as all past present future healthy on off only supporting anyway so as long as plenty eventually though even alien better way few minor convenient nuclear fun even don\'t conveniently on certainly all indeed john out instead whatever convenient ridiculously bad ',neg
'difficult simple powerful \ntruman essentially \ncertainly underrated truman \nnow aware unbeknownst truman own loosely around genuine \nharris over fake over \ntruman we\'re free sunny long lost actually \nthus suddenly twice as hard intact truman outside \nfew broad convincing good not almost through \ntruman\'s before \nall human well \ntruman because up well so nice like perhaps appropriately \nsurrealistic completely plausible tight sympathetic really here facial credible wide-eyed \ntruman symbolic \nas well beautifully \nas truman\'s i betty truman\'s curiously \nthere few off wonderful truman\'s as much as loyal \n\ni couldn\'t though i didn\'t exactly inspired possibly \n',pos
'happy odd grumpy old ain\'t fellow ain\'t up again even out over past few odd terribly generic first ago like wonderful that\'s like generic really simon such horrible i really didn\'t once honestly i mean there dumb like old just really didn\'t funny off only way i still all too final so then jonathan about on i really away there i\'m sure won\'t ',neg
'difficult simple powerful \ntruman essentially \ncertainly underrated truman \nnow aware unbeknownst truman own loosely around genuine \nharris over fake over \ntruman we\'re free sunny long lost actually \nthus suddenly twice as hard intact truman outside \nfew broad convincing good not almost through \ntruman\'s before \nall human well \ntruman because up well so nice like perhaps appropriately \nsurrealistic completely plausible tight sympathetic really here facial credible wide-eyed \ntruman symbolic \nas well beautifully \nas truman\'s i betty truman\'s curiously \nthere few off wonderful truman\'s as much as loyal \n\ni couldn\'t though i didn\'t exactly inspired possibly \n',pos
'senseless prime too far no before such as beverly as senior lucrative prominent however chief david smarmy all wealthy back up simply there light up as human brad as newfound complete unaware there super naturally full physical aside few genuinely inspired there\'s not much that\'s funny here it\'s central out rather obvious there obviously much entire completely ridiculous i mean on entire down only senseless secondary tim apparently never however rare welcome then there\'s always like fellow won\'t needless completely extraneous little desperately else good simply strong senseless off as all manic off ',neg
'absolute new murderous political about as as on south american only utterly absurd like william ever interested not only unbelievable contrived even continually already even essential so convenient annoying like secret oddly enough initial absolute interesting masterful powerful forced there through passionate quickly violent as again secret wrong acting ed harris as decent wild dark mysterious psychologically suspenseful calm warm dramatic even not as as usually genre clearly alone up about about true about not not exciting rather tense left uneasy very promising tense up small everywhere same not all unaware exciting out difficult probably brilliant ingenious however convenient simply away about close parallel real emotional about never there because either somewhere better up happy again commendable absolute dramatic however simply not enough second subtle original unpredictable not like absolute ever successfully many outstanding such as brilliant ever like i sad due once i good out bad obviously ',neg
